,Unnamed: 0,date,text,sentiment,New sentiment
0,1,2018-10-14,AAPL at the top of it's range - #AAPL chart https://t.co/yttLWQHMsB,0.27735009811261496,0.5
1,2,2018-10-13,The Big Five FAANG Stock and Sector Service is now posted for Sunday https://t.co/bihMz399my        #AMZN #AAPL #FB #NFLX #TSLA #GOOGL and  Sector Funds - #IBB #IYR #XLE #XLE #XLF #XLK #XRT  #FAANG,0.0422577127364258,0.0
2,3,2018-10-13,"Big tech companies in trouble? #TSLA and #FB are leading the crisis. https://t.co/zwsTqpD3nP
#tesla #facebook #aapl #apple #stock #investing https://t.co/CHBh2Md7fp",-0.106188821283367,-0.1
3,4,2018-10-13,"Market losses in USA were widespread, and stocks that have been the biggest winners on the market suffered steep declines. #Apple and #Amazon, the two most valuable companies in the S&amp;P 500, each had their worst day in two and a half years. #SQQQ gained % as #AAPL and #AMZN fell.",-0.136952211143295,-0.2222222222222222
4,5,2018-10-13,#Apple Assails #Australian Anti-#Encryption Bill As ‘Dangerously Ambiguous’ https://t.co/9I8dx4I3lO via @HotHardware #Privacy #Security #AAPL,-0.545544725589981,-0.3
5,6,2018-10-13,Watch the DTF Trading Video Course for FREE now.. https://t.co/7Xt1cHLVQi  Over 8 hours of #Stockmarket content all for #FREE #ES_F #SPY #SPX #Marketprofile #FANG #AAPL #NFLX #TSLA #GOOGL #SDS #AMZN,0.19333333333333302,0.4
6,7,2018-10-13,"#Apple : 
Apple shares outperforming tremendously the mighty SP500 Index on a Relative Basis (Daily ratio of AAPL / #SPY #ETF ). 
Reached New High Ever last week.
$AAPL #Trading #investing #aapl #stocks https://t.co/UITXSwLJdt",0.296635002981343,0.14709956709956712
7,8,2018-10-13,#Apple Assails Australian Anti-Encryption Bill As #DangerouslyAmbiguous https://t.co/RKPKdrr4ro via @HotHardware #AAPL #security #privacy,-0.235702260395516,0.0
8,9,2018-10-13,"#Nasdaq 100 #ETF #QQQ 
Broke the Weekly Uptrend Channel. Weekly Bearish Engulfing Pattern 2 weeks ago (ellipse). Still Into a Weekly Megaphone Trading Pattern (red trendlines).
$QQQ<U+200B> #Trading #investing #aapl #stocks #Technology #spy https://t.co/uoyA7cGoa9",-0.18492968598115198,0.0
9,10,2018-10-13,@tab354 @ICannot_Enough @ravenvanderrave #amazon never made any money for 15 years. Jusr wait for 3rd Q results onwards. In next 5 years #tesla will be similar to #aapl profits in smartphones. <U+0001F600>,-0.11770159971755101,0.0
10,11,2018-10-13,"If you manage your positions well, even during the largest point of decline ever for $DJIA $DIA, you dont lose too badly. $SPY $SPX #SP500 #QQQ #AAPL https://t.co/bEnzVe2thg",0.16869403882067002,-0.6999999999999998
11,12,2018-10-13,"Mac Rumors: New iPad Pro Models Spotted in Analytics With Same Resolutions as Current 10.5-Inch and 12.9-Inch Models 
https://t.co/HZz4pexF7k

#iPadPro #newmodel #tablet #Apple
#AAPL #<U+F8FF> #rumors",0.109544511501033,0.04545454545454545
