0,1,2,3,4,5,6,7,8,9
0.556549788,0.773980021,0.485510081,0.499307811,0.512993693,0.457001984,0.301234275,0.375587702,0.50146997,0.414020061
0.556784272,0.774102628,0.485127807,0.498298675,0.51356566,0.457508355,0.301679373,0.375701398,0.501112819,0.41458708
0.556827009,0.774168134,0.485365242,0.497419924,0.514080882,0.457882643,0.301514328,0.375887245,0.501300395,0.415237993
0.55693543,0.773919463,0.485614777,0.49803406,0.514090061,0.458159029,0.301615268,0.375855654,0.501174927,0.414649665
0.556886077,0.774005353,0.485742122,0.497921318,0.514376938,0.458268911,0.301474005,0.375983983,0.501358211,0.414875984
0.556233525,0.774269104,0.486192733,0.496746153,0.515261531,0.45766288,0.300979555,0.376834542,0.501704812,0.416701615
0.556384563,0.774151444,0.487235785,0.496129781,0.516387165,0.458005041,0.300691932,0.377556592,0.50197494,0.417327732
0.556388974,0.774096489,0.487619609,0.496926546,0.516730726,0.458188981,0.300497442,0.377929777,0.502747476,0.417121261
0.555679798,0.774444938,0.487974852,0.495833725,0.516930759,0.458042771,0.300552994,0.377955198,0.502885222,0.416629642
0.555651665,0.774424374,0.488160819,0.494309008,0.517445207,0.45795393,0.300868034,0.37824133,0.502700925,0.416225255
0.555780828,0.774042368,0.487853557,0.494644791,0.517858267,0.458745539,0.301229805,0.378836334,0.503283799,0.416670829
0.555722415,0.774139345,0.48740837,0.494625539,0.517639935,0.459039748,0.301551014,0.378611594,0.503494799,0.416608989
0.555902719,0.774553001,0.486901581,0.49363634,0.517381847,0.459242702,0.301946938,0.378094524,0.502516687,0.416754752
0.555761039,0.774597108,0.48677662,0.493465304,0.516669929,0.458948225,0.302183926,0.377659023,0.501840711,0.416190863
0.55581373,0.774638474,0.4868415,0.494504362,0.516692638,0.45866546,0.3016541,0.377711624,0.502018154,0.416708708
0.556276739,0.774269819,0.486669302,0.494777679,0.516753137,0.458711863,0.301613361,0.3777619,0.502176046,0.416948795
0.555948853,0.774349153,0.486914128,0.49505201,0.51667428,0.4584997,0.301316142,0.377830654,0.502302766,0.416862845
0.55593437,0.774370909,0.487065375,0.494945705,0.516528845,0.458187729,0.301324248,0.377658069,0.502231896,0.416512549
0.555737734,0.774327993,0.487144291,0.49527514,0.516651571,0.457965046,0.301189274,0.377999783,0.502589464,0.416835755
0.555672467,0.774393618,0.487283289,0.49555555,0.516541243,0.458221614,0.301241964,0.377886206,0.502799332,0.416028619
0.556110919,0.774457335,0.487152725,0.495386124,0.516788244,0.458446592,0.301061124,0.377897978,0.50251621,0.416120321
0.556039155,0.774488628,0.486698329,0.494570374,0.516427517,0.458607107,0.301808774,0.377464861,0.502141714,0.41580236
0.555931747,0.774412632,0.486620992,0.494914442,0.516162992,0.458592951,0.3018668,0.377427846,0.502186537,0.415630698
0.556349754,0.774265409,0.486399442,0.49538514,0.515995562,0.458801538,0.301811635,0.377169609,0.501867175,0.415595859
0.556591034,0.774331629,0.486080319,0.495536238,0.51574409,0.458979964,0.30180946,0.376894236,0.501720965,0.415627003
